epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53126,1.06323,3.43682,1.22369,0.57533,0.85,0.87734,0.63464,1.66715,1.06961,1.38576,0,0,0
2,4.63297,1.52337,2.50632,1.72801,0.58198,0.85,0.84748,0.63282,1.66221,1.05763,1.38276,1.17822e-06,1.17822e-06,1.17822e-06
3,7.42421,1.30852,2.24742,1.85018,0.57697,0.85,0.84867,0.63544,1.67437,1.05531,1.38373,2.33288e-06,2.33288e-06,2.33288e-06
4,9.40384,1.72271,2.98696,1.8943,0.57571,0.85,0.8505,0.6361,1.68057,1.0496,1.38069,3.46397e-06,3.46397e-06,3.46397e-06
5,11.3914,1.36483,3.15526,1.67421,0.6173,0.92223,0.90478,0.64198,1.67864,1.04636,1.37608,4.5715e-06,4.5715e-06,4.5715e-06
6,13.3789,1.53384,4.12051,1.91868,0.55884,0.85,0.85624,0.63746,1.64346,1.04283,1.35366,5.65548e-06,5.65548e-06,5.65548e-06
7,15.2974,1.11613,1.91847,1.31298,0.5715,0.85,0.85764,0.62948,1.6537,1.04294,1.35893,6.71588e-06,6.71588e-06,6.71588e-06
8,17.1837,0.96331,2.97351,1.3349,0.56234,0.85,0.85901,0.63049,1.65164,1.05274,1.35956,7.75273e-06,7.75273e-06,7.75273e-06
9,19.1045,1.12195,2.37095,1.39173,0.59091,0.86219,0.86007,0.63003,1.6314,1.04514,1.34812,8.76602e-06,8.76602e-06,8.76602e-06
10,20.9145,1.16875,2.38552,1.61761,0.57859,0.86667,0.89572,0.63373,1.62,1.03961,1.34143,9.75574e-06,9.75574e-06,9.75574e-06
11,22.9943,1.11757,1.92638,1.34669,0.55242,0.86667,0.89524,0.64084,1.6165,1.04427,1.34009,1.07219e-05,1.07219e-05,1.07219e-05
12,25.9575,0.96797,1.93898,1.326,0.57386,0.86667,0.85517,0.63286,1.60552,1.05829,1.33405,1.16645e-05,1.16645e-05,1.16645e-05
13,28.1228,1.03578,3.10121,1.39562,0.6348,0.94019,0.91253,0.65212,1.61375,1.07084,1.33625,1.25835e-05,1.25835e-05,1.25835e-05
14,30.1685,1.0227,2.5786,1.43097,0.65223,0.93894,0.91266,0.65257,1.61519,1.08176,1.33884,1.3479e-05,1.3479e-05,1.3479e-05
15,32.2772,1.22204,2.36655,1.40234,0.63807,0.93592,0.91217,0.64659,1.60867,1.08407,1.33897,1.43509e-05,1.43509e-05,1.43509e-05
16,34.2695,1.08184,1.87382,1.37678,0.64167,0.93671,0.91233,0.64243,1.58979,1.09468,1.33502,1.51993e-05,1.51993e-05,1.51993e-05
17,36.1296,0.89684,1.5773,1.21838,0.65641,0.9373,0.91261,0.64262,1.59113,1.10708,1.33814,1.60241e-05,1.60241e-05,1.60241e-05
18,37.9447,0.99585,1.79171,1.38346,0.65641,0.9373,0.91261,0.64262,1.59113,1.10708,1.33814,1.68253e-05,1.68253e-05,1.68253e-05
19,39.8764,0.92685,1.40028,1.21336,0.86365,0.63249,0.87193,0.64063,1.61946,1.13124,1.35354,1.7603e-05,1.7603e-05,1.7603e-05
20,41.6453,0.78677,1.66659,1.23201,0.86365,0.63249,0.87193,0.64063,1.61946,1.13124,1.35354,1.83571e-05,1.83571e-05,1.83571e-05
21,43.5131,0.87365,1.88542,1.31042,0.86762,0.63225,0.85508,0.63961,1.62315,1.16194,1.35648,1.90876e-05,1.90876e-05,1.90876e-05
22,45.3984,0.80823,1.59755,1.12559,0.86762,0.63225,0.85508,0.63961,1.62315,1.16194,1.35648,1.97946e-05,1.97946e-05,1.97946e-05
23,47.2745,1.10953,2.25366,1.38286,0.86564,0.65,0.85487,0.63721,1.62865,1.19246,1.35773,2.0478e-05,2.0478e-05,2.0478e-05
24,49.0902,1.04486,2.41643,1.46431,0.86564,0.65,0.85487,0.63721,1.62865,1.19246,1.35773,2.11379e-05,2.11379e-05,2.11379e-05
25,50.9326,0.73462,1.72787,1.13221,0.85867,0.65,0.85536,0.62892,1.64291,1.24406,1.36449,2.17741e-05,2.17741e-05,2.17741e-05
26,52.7537,0.86948,1.56707,1.15713,0.85867,0.65,0.85536,0.62892,1.64291,1.24406,1.36449,2.23869e-05,2.23869e-05,2.23869e-05
27,54.6098,0.95362,1.61268,1.35515,0.83063,0.65,0.85571,0.64355,1.63293,1.28094,1.36085,2.2976e-05,2.2976e-05,2.2976e-05
28,56.3904,1.11554,1.64443,1.51067,0.83063,0.65,0.85571,0.64355,1.63293,1.28094,1.36085,2.35417e-05,2.35417e-05,2.35417e-05
29,58.3598,1.03758,1.35098,1.38409,0.79055,0.65,0.85284,0.5963,1.64945,1.35443,1.3711,2.40837e-05,2.40837e-05,2.40837e-05
30,60.2655,1.28975,2.71848,1.68975,0.79055,0.65,0.85284,0.5963,1.64945,1.35443,1.3711,2.46022e-05,2.46022e-05,2.46022e-05
31,62.0851,0.78774,1.39975,1.25923,0.77209,0.65,0.85303,0.60089,1.63485,1.38454,1.35825,2.50971e-05,2.50971e-05,2.50971e-05
32,63.9221,0.8129,1.20738,1.12546,0.77209,0.65,0.85303,0.60089,1.63485,1.38454,1.35825,2.55685e-05,2.55685e-05,2.55685e-05
33,65.7648,1.03387,2.78084,1.36683,0.75752,0.65,0.84661,0.59956,1.64688,1.43355,1.36074,2.60163e-05,2.60163e-05,2.60163e-05
34,67.6385,0.95236,1.06136,1.37146,0.75752,0.65,0.84661,0.59956,1.64688,1.43355,1.36074,2.64405e-05,2.64405e-05,2.64405e-05
35,69.5257,0.81277,1.71225,1.25273,0.72676,0.65,0.76332,0.54155,1.64796,1.47308,1.36045,2.68412e-05,2.68412e-05,2.68412e-05
36,71.4314,0.80929,1.57563,1.14729,0.72676,0.65,0.76332,0.54155,1.64796,1.47308,1.36045,2.72183e-05,2.72183e-05,2.72183e-05
37,73.4119,0.88864,1.31661,1.35006,0.7345,0.65,0.76429,0.52588,1.67193,1.55456,1.37585,2.75718e-05,2.75718e-05,2.75718e-05
38,75.3652,0.73738,1.06624,1.10615,0.7345,0.65,0.76429,0.52588,1.67193,1.55456,1.37585,2.79018e-05,2.79018e-05,2.79018e-05
39,77.2668,0.88766,2.01441,1.25549,0.68607,0.68303,0.76687,0.53724,1.70201,1.63337,1.39279,2.82082e-05,2.82082e-05,2.82082e-05
40,79.2717,0.74431,1.10145,1.08946,0.68607,0.68303,0.76687,0.53724,1.70201,1.63337,1.39279,2.84911e-05,2.84911e-05,2.84911e-05
41,81.3892,1.12236,2.00897,1.48927,0.60659,0.55556,0.65642,0.43155,1.71935,1.68723,1.39636,2.87504e-05,2.87504e-05,2.87504e-05
42,83.2479,0.87833,1.18289,1.26159,0.60659,0.55556,0.65642,0.43155,1.71935,1.68723,1.39636,2.89861e-05,2.89861e-05,2.89861e-05
43,85.183,0.69365,0.83904,1.03887,0.62039,0.5697,0.6566,0.42349,1.70848,1.71351,1.39531,2.91983e-05,2.91983e-05,2.91983e-05
44,87.0718,0.84087,1.12046,1.21682,0.62039,0.5697,0.6566,0.42349,1.70848,1.71351,1.39531,2.93869e-05,2.93869e-05,2.93869e-05
45,88.9411,0.63663,0.9798,1.16459,0.60999,0.5,0.5858,0.36458,1.7004,1.75394,1.39669,2.9552e-05,2.9552e-05,2.9552e-05
46,91.3018,0.70669,0.94022,1.02807,0.60999,0.5,0.5858,0.36458,1.7004,1.75394,1.39669,2.96935e-05,2.96935e-05,2.96935e-05
47,93.1849,0.75382,0.96891,1.05264,0.60344,0.5,0.55438,0.33488,1.71277,1.81543,1.4051,2.98114e-05,2.98114e-05,2.98114e-05
48,94.9698,0.71375,0.86297,1.15489,0.60344,0.5,0.55438,0.33488,1.71277,1.81543,1.4051,2.99058e-05,2.99058e-05,2.99058e-05
49,96.8308,1.01753,1.29528,1.41621,0.78417,0.50219,0.53059,0.31153,1.72746,1.85712,1.4152,2.99766e-05,2.99766e-05,2.99766e-05
50,98.6908,0.91507,1.59268,1.33604,0.78417,0.50219,0.53059,0.31153,1.72746,1.85712,1.4152,3.00238e-05,3.00238e-05,3.00238e-05
51,100.513,0.67419,0.86152,1.11237,0.78947,0.49939,0.52886,0.31527,1.73359,1.89044,1.43283,3.00475e-05,3.00475e-05,3.00475e-05
52,102.349,0.8643,1.81581,1.413,0.78947,0.49939,0.52886,0.31527,1.73359,1.89044,1.43283,3.00476e-05,3.00476e-05,3.00476e-05
53,104.155,0.8693,0.81846,1.28391,0.78947,0.49939,0.52886,0.31527,1.73359,1.89044,1.43283,3.00242e-05,3.00242e-05,3.00242e-05
54,106.044,0.87241,0.90994,1.19446,0.80258,0.49871,0.54186,0.31076,1.72226,1.93892,1.43584,2.99772e-05,2.99772e-05,2.99772e-05
55,107.947,0.8007,0.7291,1.20339,0.80258,0.49871,0.54186,0.31076,1.72226,1.93892,1.43584,2.99066e-05,2.99066e-05,2.99066e-05
56,109.822,0.90116,1.10221,1.32616,0.80258,0.49871,0.54186,0.31076,1.72226,1.93892,1.43584,2.98125e-05,2.98125e-05,2.98125e-05
57,111.739,0.72187,0.83608,1.12694,0.80898,0.49881,0.53935,0.30995,1.71637,1.97174,1.43887,2.96948e-05,2.96948e-05,2.96948e-05
58,113.629,0.68963,0.86828,1.08792,0.80898,0.49881,0.53935,0.30995,1.71637,1.97174,1.43887,2.95535e-05,2.95535e-05,2.95535e-05
59,115.44,0.63519,0.80383,1.07691,0.80898,0.49881,0.53935,0.30995,1.71637,1.97174,1.43887,2.93887e-05,2.93887e-05,2.93887e-05
60,117.27,0.49039,0.84093,0.94899,0.82389,0.49929,0.52564,0.30459,1.72892,2.00232,1.43828,2.92003e-05,2.92003e-05,2.92003e-05
61,119.366,0.76021,0.81889,1.23965,0.82389,0.49929,0.52564,0.30459,1.72892,2.00232,1.43828,2.89884e-05,2.89884e-05,2.89884e-05
62,121.243,0.88152,0.97981,1.29465,0.82389,0.49929,0.52564,0.30459,1.72892,2.00232,1.43828,2.87529e-05,2.87529e-05,2.87529e-05
63,123.106,0.89972,0.72181,1.39872,0.84325,0.49936,0.55391,0.31159,1.74447,2.05177,1.45131,2.84938e-05,2.84938e-05,2.84938e-05
64,124.924,0.72592,1.04462,1.13391,0.84325,0.49936,0.55391,0.31159,1.74447,2.05177,1.45131,2.82112e-05,2.82112e-05,2.82112e-05
65,126.78,0.57719,0.68528,1.07692,0.84325,0.49936,0.55391,0.31159,1.74447,2.05177,1.45131,2.7905e-05,2.7905e-05,2.7905e-05
66,128.694,0.95046,1.17578,1.22421,0.84448,0.49823,0.53266,0.30812,1.76633,2.05695,1.46163,2.75753e-05,2.75753e-05,2.75753e-05
67,130.691,0.87075,1.2442,1.25325,0.84448,0.49823,0.53266,0.30812,1.76633,2.05695,1.46163,2.7222e-05,2.7222e-05,2.7222e-05
68,132.628,1.00536,1.3099,1.48529,0.84448,0.49823,0.53266,0.30812,1.76633,2.05695,1.46163,2.68451e-05,2.68451e-05,2.68451e-05
69,134.745,0.63638,0.65048,1.02923,0.84189,0.49786,0.52572,0.29125,1.78973,2.10802,1.46816,2.64447e-05,2.64447e-05,2.64447e-05
70,136.903,1.1237,1.09838,1.48087,0.84189,0.49786,0.52572,0.29125,1.78973,2.10802,1.46816,2.60207e-05,2.60207e-05,2.60207e-05
71,139.072,0.7728,0.63179,1.16771,0.84189,0.49786,0.52572,0.29125,1.78973,2.10802,1.46816,2.55731e-05,2.55731e-05,2.55731e-05
72,141.194,0.67078,1.00296,1.09885,0.86561,0.41008,0.42919,0.28394,1.7765,2.13798,1.46889,2.5102e-05,2.5102e-05,2.5102e-05
73,143.683,0.60321,0.65232,0.95988,0.86561,0.41008,0.42919,0.28394,1.7765,2.13798,1.46889,2.46073e-05,2.46073e-05,2.46073e-05
74,145.614,0.76752,0.88024,1.2399,0.86561,0.41008,0.42919,0.28394,1.7765,2.13798,1.46889,2.40891e-05,2.40891e-05,2.40891e-05
75,147.446,0.84964,0.99702,1.38583,0.86026,0.41045,0.42897,0.29008,1.83925,2.14473,1.49304,2.35472e-05,2.35472e-05,2.35472e-05
76,149.532,0.61317,0.70927,1.08044,0.86026,0.41045,0.42897,0.29008,1.83925,2.14473,1.49304,2.29819e-05,2.29819e-05,2.29819e-05
77,151.414,0.79748,1.02782,1.20816,0.86026,0.41045,0.42897,0.29008,1.83925,2.14473,1.49304,2.23929e-05,2.23929e-05,2.23929e-05
78,153.46,0.74218,0.81229,1.14184,0.86252,0.41002,0.42721,0.28926,1.85141,2.26431,1.5323,2.17805e-05,2.17805e-05,2.17805e-05
79,155.282,0.82193,0.79527,1.19068,0.86252,0.41002,0.42721,0.28926,1.85141,2.26431,1.5323,2.11444e-05,2.11444e-05,2.11444e-05
80,157.106,0.8668,0.70582,1.29656,0.86252,0.41002,0.42721,0.28926,1.85141,2.26431,1.5323,2.04848e-05,2.04848e-05,2.04848e-05
81,158.971,0.65638,0.57839,1.17002,0.86262,0.41035,0.4275,0.27285,1.92272,2.27463,1.57815,1.98016e-05,1.98016e-05,1.98016e-05
82,160.849,0.6731,0.64735,1.17207,0.86262,0.41035,0.4275,0.27285,1.92272,2.27463,1.57815,1.90949e-05,1.90949e-05,1.90949e-05
83,162.733,0.60303,0.96385,1.05826,0.86262,0.41035,0.4275,0.27285,1.92272,2.27463,1.57815,1.83646e-05,1.83646e-05,1.83646e-05
84,164.575,0.63484,0.69174,0.98401,0.86846,0.41039,0.43288,0.26962,1.93147,2.30565,1.58929,1.76107e-05,1.76107e-05,1.76107e-05
85,166.552,0.57775,0.59967,1.07176,0.86846,0.41039,0.43288,0.26962,1.93147,2.30565,1.58929,1.68333e-05,1.68333e-05,1.68333e-05
86,168.437,0.80883,0.98045,1.33229,0.86846,0.41039,0.43288,0.26962,1.93147,2.30565,1.58929,1.60323e-05,1.60323e-05,1.60323e-05
87,170.28,0.52687,0.70744,1.07054,0.86846,0.41039,0.43288,0.26962,1.93147,2.30565,1.58929,1.52077e-05,1.52077e-05,1.52077e-05
88,172.093,0.7417,0.949,1.15841,0.87461,0.41153,0.42636,0.26854,1.91704,2.2597,1.57389,1.43596e-05,1.43596e-05,1.43596e-05
89,173.919,0.54267,0.63101,1.0577,0.87461,0.41153,0.42636,0.26854,1.91704,2.2597,1.57389,1.34879e-05,1.34879e-05,1.34879e-05
